File,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONValidator.java,com.alibaba.fastjson.JSONValidator$UTF16Validator,2.0,1.0,0.0,13.0,1.0,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\AntiCollisionHashMap.java,com.alibaba.fastjson.util.AntiCollisionHashMap$HashIterator,0.0,-1.0,7.0,12.0,0.6315789,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\FastJsonpHttpMessageConverter4.java,com.alibaba.fastjson.support.spring.FastJsonpHttpMessageConverter4,4.0,1.0,0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$NullSegement,1.0,0.0,1.0,0.0,0.0,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\geo\Feature.java,com.alibaba.fastjson.support.geo.Feature,0.0,0.0,0.0,6.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\ASMUtils.java,com.alibaba.fastjson.util.ASMUtils,0.0,-1.0,34.0,3.0,0.08108108,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$RangeSegment,0.0,-1.0,1.0,8.0,0.8888889,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\EnumDeserializer.java,com.alibaba.fastjson.parser.deserializer.EnumDeserializer,0.0,-1.0,18.0,7.0,0.28,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\MethodCollector.java,com.alibaba.fastjson.asm.MethodCollector,0.0,-1.0,0.0,6.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\jaxrs\FastJsonFeature.java,com.alibaba.fastjson.support.jaxrs.FastJsonFeature,0.0,-1.0,13.0,2.0,0.13333334,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$FloorSegment,0.0,-1.0,4.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$TypeSegment,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\ObjectArrayCodec.java,com.alibaba.fastjson.serializer.ObjectArrayCodec,0.0,-1.0,40.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$StringInSegement,1.0,0.0,1.0,4.0,0.8,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\ByteVector.java,com.alibaba.fastjson.asm.ByteVector,0.0,-1.0,8.0,26.0,0.7647059,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$IntObjInSegement,1.0,0.0,1.0,6.0,0.85714287,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$MultiIndexSegment,0.0,-1.0,7.0,2.0,0.22222222,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\TypeReference.java,com.alibaba.fastjson.TypeReference$1,0.0,0.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\TypeCollector.java,com.alibaba.fastjson.asm.TypeCollector$1,0.0,0.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\ParserConfig.java,com.alibaba.fastjson.parser.ParserConfig$1,0.0,-1.0,8.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\ASMClassLoader.java,com.alibaba.fastjson.util.ASMClassLoader$1,0.0,-1.0,1.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\IOUtils.java,com.alibaba.fastjson.util.IOUtils$1,0.0,-1.0,5.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$1,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\ParserConfig.java,com.alibaba.fastjson.parser.ParserConfig$2,0.0,-1.0,3.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$2,0.0,-1.0,5.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$3,0.0,-1.0,5.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPObject.java,com.alibaba.fastjson.JSONPObject,0.0,-1.0,4.0,5.0,0.5555556,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$4,0.0,-1.0,5.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\BigIntegerCodec.java,com.alibaba.fastjson.serializer.BigIntegerCodec,0.0,-1.0,8.0,2.0,0.2,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\geo\MultiPolygon.java,com.alibaba.fastjson.support.geo.MultiPolygon,0.0,0.0,0.0,2.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$5,0.0,-1.0,3.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$6,0.0,-1.0,4.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$7,0.0,0.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\CharArrayCodec.java,com.alibaba.fastjson.serializer.CharArrayCodec,0.0,-1.0,6.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\GuavaCodec.java,com.alibaba.fastjson.serializer.GuavaCodec,0.0,-1.0,6.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$8,0.0,0.0,0.0,0.0,-1.0,-1.0
