class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
com.alibaba.fastjson.JSONValidator$UTF16Validator,2.0,1.0,0.0,13.0,1.0,0.0
com.alibaba.fastjson.util.AntiCollisionHashMap$HashIterator,0.0,-1.0,7.0,12.0,0.6315789,-1.0
com.alibaba.fastjson.support.spring.FastJsonpHttpMessageConverter4,4.0,1.0,0.0,0.0,-1.0,0.0
com.alibaba.fastjson.JSONPath$NullSegement,1.0,0.0,1.0,0.0,0.0,0.0
com.alibaba.fastjson.support.geo.Feature,0.0,0.0,0.0,6.0,1.0,-1.0
com.alibaba.fastjson.util.ASMUtils,0.0,-1.0,34.0,3.0,0.08108108,-1.0
com.alibaba.fastjson.JSONPath$RangeSegment,0.0,-1.0,1.0,8.0,0.8888889,-1.0
com.alibaba.fastjson.parser.deserializer.EnumDeserializer,0.0,-1.0,18.0,7.0,0.28,-1.0
com.alibaba.fastjson.asm.MethodCollector,0.0,-1.0,0.0,6.0,1.0,-1.0
com.alibaba.fastjson.support.jaxrs.FastJsonFeature,0.0,-1.0,13.0,2.0,0.13333334,-1.0
com.alibaba.fastjson.JSONPath$FloorSegment,0.0,-1.0,4.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPath$TypeSegment,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.serializer.ObjectArrayCodec,0.0,-1.0,40.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPath$StringInSegement,1.0,0.0,1.0,4.0,0.8,0.0
com.alibaba.fastjson.asm.ByteVector,0.0,-1.0,8.0,26.0,0.7647059,-1.0
com.alibaba.fastjson.JSONPath$IntObjInSegement,1.0,0.0,1.0,6.0,0.85714287,0.0
com.alibaba.fastjson.JSONPath$MultiIndexSegment,0.0,-1.0,7.0,2.0,0.22222222,-1.0
com.alibaba.fastjson.TypeReference$1,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.asm.TypeCollector$1,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.ParserConfig$1,0.0,-1.0,8.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.ASMClassLoader$1,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.IOUtils$1,0.0,-1.0,5.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.TypeUtils$1,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.ParserConfig$2,0.0,-1.0,3.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.TypeUtils$2,0.0,-1.0,5.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.TypeUtils$3,0.0,-1.0,5.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPObject,0.0,-1.0,4.0,5.0,0.5555556,-1.0
com.alibaba.fastjson.util.TypeUtils$4,0.0,-1.0,5.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.BigIntegerCodec,0.0,-1.0,8.0,2.0,0.2,-1.0
com.alibaba.fastjson.support.geo.MultiPolygon,0.0,0.0,0.0,2.0,1.0,-1.0
com.alibaba.fastjson.util.TypeUtils$5,0.0,-1.0,3.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.TypeUtils$6,0.0,-1.0,4.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.TypeUtils$7,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.serializer.CharArrayCodec,0.0,-1.0,6.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.GuavaCodec,0.0,-1.0,6.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.TypeUtils$8,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.JSONObject,0.0,0.02,32.0,30.0,0.48387095,-1.0
com.alibaba.fastjson.support.spring.GenericFastJsonRedisSerializer,0.0,-1.0,6.0,1.0,0.14285715,-1.0
com.alibaba.fastjson.serializer.PrimitiveArraySerializer,0.0,-1.0,8.0,0.0,0.0,-1.0
com.alibaba.fastjson.asm.ClassReader,0.0,-1.0,0.0,12.0,1.0,-1.0
com.alibaba.fastjson.JSONStreamContext,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.support.spring.messaging.MappingFastJsonMessageConverter,0.0,0.0,26.0,2.0,0.071428575,-1.0
com.alibaba.fastjson.JSONPath$SizeSegment,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.EnumSerializer,0.0,-1.0,2.0,2.0,0.5,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap$EntryIterator,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.util.ParameterizedTypeImpl,0.0,-1.0,2.0,13.0,0.8666667,-1.0
com.alibaba.fastjson.serializer.CalendarCodec,0.0,0.33333334,52.0,2.0,0.037037037,-1.0
com.alibaba.fastjson.serializer.PascalNameFilter,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap,0.0,0.0,63.0,60.0,0.4878049,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap$Entry,0.0,-1.0,2.0,10.0,0.8333333,-1.0
com.alibaba.fastjson.util.IdentityHashMap$Entry,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.deserializer.SqlDateDeserializer,1.0,0.33333334,13.0,1.0,0.071428575,0.0
com.alibaba.fastjson.TypeReference,0.0,-1.0,7.0,1.0,0.125,-1.0
com.alibaba.fastjson.serializer.MiscCodec,0.0,-1.0,76.0,6.0,0.07317073,-1.0
com.alibaba.fastjson.util.ModuleUtil,0.0,-1.0,0.0,3.0,1.0,-1.0
com.alibaba.fastjson.util.UTF8Decoder,0.0,0.0,11.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.JSONSerializableSerializer,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap$KeySet,0.0,0.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.SimpleDateFormatSerializer,0.0,-1.0,3.0,1.0,0.25,-1.0
com.alibaba.fastjson.support.spring.FastJsonRedisSerializer,0.0,-1.0,14.0,3.0,0.1764706,-1.0
com.alibaba.fastjson.JSONPath$DoubleOpSegement,1.0,0.0,7.0,7.0,0.5,0.0
com.alibaba.fastjson.asm.FieldWriter,0.0,-1.0,0.0,3.0,1.0,-1.0
com.alibaba.fastjson.parser.deserializer.ArrayListTypeFieldDeserializer,0.0,0.6666667,53.0,8.0,0.13114753,-1.0
com.alibaba.fastjson.serializer.AfterFilter,0.0,-1.0,9.0,1.0,0.1,-1.0
com.alibaba.fastjson.util.IOUtils,0.0,-1.0,12.0,35.0,0.7446808,-1.0
com.alibaba.fastjson.JSONPath$IntOpSegement,1.0,0.0,25.0,19.0,0.4318182,0.0
com.alibaba.fastjson.JSONReader,0.0,-1.0,73.0,25.0,0.25510204,-1.0
com.alibaba.fastjson.serializer.ToStringSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable,0.0,-1.0,3.0,1.0,0.25,-1.0
com.alibaba.fastjson.support.spring.FastJsonContainer,0.0,-1.0,0.0,4.0,1.0,-1.0
com.alibaba.fastjson.JSONPath$Context,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory$Context,0.0,-1.0,13.0,4.0,0.23529412,-1.0
com.alibaba.fastjson.serializer.ASMSerializerFactory$Context,0.0,-1.0,5.0,4.0,0.44444445,-1.0
com.alibaba.fastjson.util.FieldInfo,0.0,-1.0,62.0,39.0,0.38613862,-1.0
com.alibaba.fastjson.util.JavaBeanInfo,0.0,-1.0,178.0,8.0,0.043010753,-1.0
com.alibaba.fastjson.parser.deserializer.StackTraceElementDeserializer,0.0,-1.0,36.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.BeforeFilter,0.0,-1.0,8.0,1.0,0.11111111,-1.0
